date,sales,qty,profit,day_of_week,day_of_month,anomaly,anomaly_score
2024-04-06,36817.05,1822.0,6691.65,5,6,-1,-0.5956557563426087
2023-11-18,37308.61,1774.0,7058.4,5,18,-1,-0.5921462135832848
2022-09-16,23177.38,2165.0,7397.6,4,16,-1,-0.5919590875367601
2023-12-02,41216.19,1484.0,1968.3600000000001,5,2,-1,-0.5888271333036996
2024-04-05,42417.6,1910.0,4676.86,4,5,-1,-0.5880018488636192
2024-08-20,33371.06,1736.0,9204.31,1,20,-1,-0.5859586307339743
2023-06-18,2326.6,93.0,-2280.87,6,18,-1,-0.5851441573186034
2024-01-13,52118.01,1162.0,5857.0199999999995,5,13,-1,-0.5819139778237448
2023-12-16,44612.96,1083.0,6.550000000000048,5,16,-1,-0.5775631820020601
2023-12-15,46301.46,1128.0,-2720.3700000000003,4,15,-1,-0.576832192554125
2023-12-19,43356.8,1291.0,828.5999999999999,1,19,-1,-0.5734569357033562
2024-03-13,47289.35,1513.0,4236.6,2,13,-1,-0.5731164385294344
2024-02-10,42012.26,1229.0,9503.0,5,10,-1,-0.5723849613324726
2023-10-12,48361.16,1411.0,2516.9500000000003,3,12,-1,-0.5718158276275062
2024-04-11,50521.4,797.0,12281.81,3,11,-1,-0.5706023705558921
2024-01-06,44367.18,1217.0,7874.84,5,6,-1,-0.569925643812809
2024-09-09,41381.83,564.0,13755.5,0,9,-1,-0.5695589044890158
2023-04-30,566.9,42.0,162.38,6,30,-1,-0.5691643788212017
2023-06-10,21142.09,1615.0,1719.52,5,10,-1,-0.5637089775745242
2024-04-21,7465.19,151.0,-4111.2,6,21,-1,-0.5635621445772849
2023-06-27,13352.52,570.0,-11076.84,1,27,-1,-0.5628350690799258
2023-12-21,47045.0,1441.0,3534.38,3,21,-1,-0.5615873227950886
2022-05-23,45376.32,816.0,12902.04,0,23,-1,-0.5585968730441293
2024-04-08,49118.06,1021.0,10347.55,0,8,-1,-0.5556257239600606
2023-12-18,56192.14,810.0,5890.13,0,18,-1,-0.5549106018112955
2024-11-05,45880.88,1163.0,9892.43,1,5,-1,-0.5528356543456503
2024-03-08,46689.81,1051.0,11710.14,4,8,-1,-0.5527900151780633
2023-09-28,50155.53,821.0,9597.11,3,28,-1,-0.552349468119975
2023-08-29,42610.42,1393.0,5916.96,1,29,-1,-0.5517280929891846
2023-06-20,22443.73,714.0,-10111.380000000001,1,20,-1,-0.5480306150987585
2023-05-22,26978.37,995.0,-6009.62,0,22,-1,-0.547735701411462
2022-06-05,1448.96,82.0,420.28,6,5,-1,-0.5466271572541754
2024-03-25,45139.64,947.0,11341.51,0,25,-1,-0.5445539976072304
2024-02-27,24821.94,1554.0,6331.52,1,27,-1,-0.5422119429130317
2022-07-04,48881.07,884.0,9548.890000000001,0,4,-1,-0.5417533175648995
2023-07-03,30332.579999999998,1307.0,3241.77,0,3,-1,-0.5402315054680237
2023-05-28,2313.5,95.0,282.63,6,28,-1,-0.5378502407883493
2024-12-02,31130.12,1139.0,11787.03,0,2,-1,-0.5370249359523879
2023-10-18,31123.29,1710.0,3411.68,2,18,-1,-0.5370084203168781
2024-01-20,35333.98,1335.0,6211.4800000000005,5,20,-1,-0.5366420229901732
2023-08-31,42314.44,945.0,11906.11,3,31,-1,-0.5359683044945617
2024-10-19,43072.61,1009.0,8081.16,5,19,-1,-0.5355615385578363
2025-03-17,39892.62,1110.0,11182.25,0,17,-1,-0.5350600807879493
2022-05-10,7688.14,557.0,-5615.66,1,10,-1,-0.5335312071375498
2023-07-22,24888.46,252.0,7649.86,5,22,-1,-0.533445473413889
2023-06-06,16563.55,483.0,-8262.44,1,6,-1,-0.532600984039261
2022-05-09,5650.42,328.0,1128.49,0,9,-1,-0.5304287567409561
2023-10-29,12446.21,233.0,-1963.85,6,29,-1,-0.5294910139565078
2023-07-07,10972.41,580.0,-9237.94,4,7,-1,-0.5285937892783839
2023-12-24,22343.7,438.0,-685.8999999999997,6,24,-1,-0.5283686634985768
2024-01-15,41352.38,1214.0,7260.14,0,15,-1,-0.5280801720987148
2023-05-14,2201.28,123.0,242.85,6,14,-1,-0.5277537343042958
2023-06-21,13496.88,422.0,-7101.54,2,21,-1,-0.5273224986504513
2024-01-09,37607.13,1328.0,7763.59,1,9,-1,-0.5266757320384299
2023-11-03,45094.81,1131.0,2106.03,4,3,-1,-0.5261449370330706
2022-06-20,5861.99,306.0,1652.53,0,20,-1,-0.5257281829619467
2025-02-02,10414.73,158.0,3859.86,6,2,-1,-0.5256782369335605
2023-03-27,15825.57,1296.0,4734.08,0,27,-1,-0.523400886915278
2024-09-16,32137.35,1257.0,8114.96,0,16,-1,-0.5227421528992454
2024-11-15,21740.8,1504.0,6951.42,4,15,-1,-0.5216076647114676
2022-12-24,2863.17,96.0,340.58,5,24,-1,-0.521587013235552
2024-01-05,37804.49,1299.0,7555.17,4,5,-1,-0.5205663149995142
2023-11-13,43572.58,1077.0,3391.3700000000003,0,13,-1,-0.5204882283818831
2025-02-03,36257.47,671.0,11435.83,0,3,-1,-0.5203342582365751
2023-06-02,25698.8,1620.0,6260.38,4,2,-1,-0.5196398466623666
2023-05-24,13803.35,838.0,-5990.37,2,24,-1,-0.5185511373669858
2025-03-30,7688.26,132.0,3389.7,6,30,-1,-0.5180588074896326
2025-01-27,36958.02,1052.0,10840.04,0,27,-1,-0.5170442022719945
2023-03-21,41417.79,663.0,10426.94,1,21,-1,-0.5165623398268854
2022-08-22,8069.68,297.0,1481.31,0,22,-1,-0.5162646007377771
2023-07-12,15684.9,1577.0,3705.0,2,12,-1,-0.5141198030459333
2025-01-12,2956.35,97.0,833.2,6,12,-1,-0.5137623264033764
2023-06-13,20572.9,755.0,-6763.83,1,13,-1,-0.5136833047246037
2022-11-22,6745.91,219.0,771.98,1,22,-1,-0.5130536311073458
2024-09-03,36342.3,1307.0,5968.39,1,3,-1,-0.5118492621613069
