medicine,scenario,demand_change_pct,price_change_pct,projected_demand,projected_sales,projected_profit,projected_cost,profit_change_pct
APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,Aggressive,30.0,10.0,9854.0,154526.65800000002,28901.02800000002,125625.63,152.95197584350814
NOVASARTAN (LOSARTAN K) 50MG FC TAB,Pessimistic,-20.0,-10.0,5787.200000000001,12282.307200000005,7078.323200000002,5203.984000000003,-32.930919537833816
NOVASARTAN (LOSARTAN K) 50MG FC TAB,Conservative,-10.0,0.0,6510.6,15352.884000000002,9498.401999999998,5854.482000000004,-10.000000000000007
NOVASARTAN (LOSARTAN K) 50MG FC TAB,Current,0.0,0.0,7234.0,17058.760000000002,10553.779999999999,6504.980000000003,0.0
NOVASARTAN (LOSARTAN K) 50MG FC TAB,Optimistic,15.0,5.0,8319.099999999999,20598.4527,13117.725699999999,7480.727000000003,24.294098417818073
NOVASARTAN (LOSARTAN K) 50MG FC TAB,Aggressive,30.0,10.0,9404.2,24394.026800000007,15937.552800000001,8456.474000000006,51.01274424898001
OHHIRA&#039;S RED OMX PROBIOTICS CAP,Pessimistic,-20.0,-10.0,5431.200000000001,240580.63440000004,20640.794399999955,219939.84000000008,-65.14260768856262
OHHIRA&#039;S RED OMX PROBIOTICS CAP,Conservative,-10.0,0.0,6110.1,300725.79300000006,53293.473,247432.32000000007,-10.000000000000005
OHHIRA&#039;S RED OMX PROBIOTICS CAP,Current,0.0,0.0,6789.0,334139.77,59214.96999999997,274924.80000000005,-4.914944727107639e-14
OHHIRA&#039;S RED OMX PROBIOTICS CAP,Optimistic,15.0,5.0,7807.349999999999,403473.772275,87310.25227499998,316163.52,47.44624927615428
OHHIRA&#039;S RED OMX PROBIOTICS CAP,Aggressive,30.0,10.0,8825.7,477819.8711000001,120417.6311,357402.2400000001,103.35673749391412
BIOGESIC 500MG TAB,Pessimistic,-20.0,-10.0,5136.0,19854.72,-763.7279999999992,20618.448,-142.3601450963426
BIOGESIC 500MG TAB,Conservative,-10.0,0.0,5778.0,24818.4,1622.6460000000006,23195.754,-9.999999999999968
BIOGESIC 500MG TAB,Current,0.0,0.0,6420.0,27576.0,1802.9400000000023,25773.059999999998,1.2611272446295055e-13
BIOGESIC 500MG TAB,Optimistic,15.0,5.0,7382.999999999999,33298.02,3659.001,29639.018999999997,102.94635428799627
BIOGESIC 500MG TAB,Aggressive,30.0,10.0,8346.0,39433.68,5928.7019999999975,33504.978,228.83523578155663
IMMUNPRO 500MG TAB,Pessimistic,-20.0,-10.0,4888.0,37013.839199999995,-312.3368000000046,37326.176,-106.57497173916258
IMMUNPRO 500MG TAB,Conservative,-10.0,0.0,5499.0,46267.299,4275.351000000002,41991.948,-9.999999999999956
IMMUNPRO 500MG TAB,Current,0.0,0.0,6110.0,51408.10999999999,4750.389999999992,46657.72,-1.7231116426138387e-13
IMMUNPRO 500MG TAB,Optimistic,15.0,5.0,7026.499999999999,62075.29282499999,8418.914825,53656.37799999999,77.22576093752302
IMMUNPRO 500MG TAB,Aggressive,30.0,10.0,7943.0,73513.59730000001,12858.561300000008,60655.036,170.68432907613916
OHHIRAs PROPOLIS 600MG CAP,Pessimistic,-20.0,-10.0,3312.0,191639.93040000004,-2623.2695999999414,194263.19999999998,-111.24054303854231
OHHIRAs PROPOLIS 600MG CAP,Conservative,-10.0,0.0,3726.0,239549.91300000003,21003.813000000024,218546.1,-9.999999999999897
OHHIRAs PROPOLIS 600MG CAP,Current,0.0,0.0,4140.0,266166.57,23337.570000000007,242829.0,3.1177014634271804e-14
OHHIRAs PROPOLIS 600MG CAP,Optimistic,15.0,5.0,4761.0,321396.13327500003,42142.78327500005,279253.35,80.5791403089527
OHHIRAs PROPOLIS 600MG CAP,Aggressive,30.0,10.0,5382.0,380618.19510000007,64940.49510000006,315677.7,178.26588243763192
RETANIX (CETIRIZINE) 10MG TAB,Pessimistic,-20.0,-10.0,3248.8,7113.8808,5814.3608,1299.5199999999995,-29.57403291428405
RETANIX (CETIRIZINE) 10MG TAB,Conservative,-10.0,0.0,3654.9,8892.350999999999,7430.390999999999,1461.96,-10.000000000000012
RETANIX (CETIRIZINE) 10MG TAB,Current,0.0,0.0,4061.0,9880.39,8255.99,1624.3999999999996,0.0
RETANIX (CETIRIZINE) 10MG TAB,Optimistic,15.0,5.0,4670.15,11930.570924999998,10062.510924999999,1868.0599999999995,21.88133615714165
RETANIX (CETIRIZINE) 10MG TAB,Aggressive,30.0,10.0,5279.3,14128.9577,12017.237700000001,2111.7199999999993,45.55780348571161
RETAVASC- 5 (AMLODIPINE) 5MG TAB,Pessimistic,-20.0,-10.0,3107.2000000000003,4566.621600000001,3013.021600000001,1553.6000000000004,-31.530483828084332
RETAVASC- 5 (AMLODIPINE) 5MG TAB,Conservative,-10.0,0.0,3495.6,5708.277000000001,3960.4770000000008,1747.8000000000002,-9.999999999999996
RETAVASC- 5 (AMLODIPINE) 5MG TAB,Current,0.0,0.0,3884.0,6342.530000000001,4400.530000000001,1942.0,0.0
RETAVASC- 5 (AMLODIPINE) 5MG TAB,Optimistic,15.0,5.0,4466.599999999999,7658.604975000001,5425.304975000001,2233.3,23.287535251435624
RETAVASC- 5 (AMLODIPINE) 5MG TAB,Aggressive,30.0,10.0,5049.2,9069.817900000002,6545.2179000000015,2524.6000000000004,48.73703622063707
